<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z016E0054	185.0	90.0	NaN	NaN	NaN
Z016E0055	185.0	80.0	160.0	16.0	3.9
Z016E0056	180.0	105.0	173.0	14.0	3.7
Z016E0057	180.0	80.0	142.0	20.0	4.1
Z016E0058	140.0	75.0	197.0	14.0	6.7
Z016E0059	160.0	45.0	113.0	14.0	2.8
Z016E0060	190.0	80.0	110.0	18.0	4.2
Z016E0061	200.0	120.0	139.0	14.0	5.0
Z016E0062	155.0	85.0	160.0	12.0	4.1
Z016E0063	165.0	85.0	157.0	12.0	5.2
Z016E0064	210.0	110.0	152.0	19.0	5.9
Z016E0065	175.0	70.0	162.0	16.0	5.7
Z016E0066	140.0	80.0	162.0	15.0	4.75
Z016E0067	125.0	70.0	139.0	16.0	NaN
Z016E0068	155.0	70.0	125.0	16.0	3.7
Z016E0069	225.0	110.0	140.0	16.0	4.3
Z016E0070	145.0	55.0	167.0	16.0	4.6
Z016E0071	175.0	80.0	142.0	12.0	6.6
Z016E0072	175.0	95.0	149.0	14.0	3.6
Z016E0073	195.0	120.0	154.0	14.0	4.7
Z016E0074	160.0	60.0	146.0	20.0	5.7
Z016E0075	165.0	60.0	NaN	NaN	NaN
Z016E0076	190.0	110.0	196.0	14.0	5.8
Z016E0077	135.0	70.0	136.0	14.0	5.3
Z016E0078	155.0	75.0	139.0	15.0	3.9
Z016E0079	165.0	85.0	162.5	14.5	5.65
Z016E0080	220.0	110.0	155.0	16.0	4.9
Z016E0081	190.0	105.0	197.3333333	15.0	5.8
Z016E0082	180.0	75.0	158.0	12.0	6.3
Z016E0083	135.0	70.0	133.0	16.0	2.9
Z016E0084	165.0	65.0	NaN	NaN	4.8
Z016E0085	190.0	100.0	148.0	18.0	3.3
Z016E0086	170.0	80.0	122.0	20.0	5.0
Z016E0087	185.0	80.0	141.0	16.0	6.0
Z016E0088	170.0	75.0	166.0	15.0	5.2
Z016E0089	145.0	85.0	162.0	14.0	4.3
Z016E0090	140.0	60.0	176.0	17.0	8.3
Z016E0091	160.0	80.0	136.5	18.0	4.55
Z016E0092	185.0	70.0	NaN	NaN	3.95
Z016E0093	155.0	65.0	151.5	13.0	4.3
Z016E0094	195.0	95.0	150.5	14.0	4.55
Z016E0095	130.0	25.0	NaN	NaN	NaN
Z016E0096	180.0	95.0	148.0	17.0	5.8
Z016E0097	180.0	95.0	142.0	16.0	4.6
Z016E0098	165.0	80.0	165.0	18.0	4.4
Z016E0099	175.0	70.0	146.0	14.0	3.8
Z016E0100	185.0	85.0	124.0	19.0	3.65
Z016E0101	180.0	80.0	174.5	16.0	3.85
Z016E0102	185.0	75.0	160.5	NaN	5.05
Z016E0103	165.0	75.0	147.0	17.5	4.7
Z016E0104	135.0	60.0	118.0	14.0	4.2
Z016E0105	160.0	60.0	NaN	NaN	NaN
Z016E0106	160.0	90.0	139.0	14.0	5.0
Z016E0107	180.0	95.0	140.0	14.0	5.3
Z016E0108	145.0	60.0	130.0	20.0	2.6
Z016E0109	175.0	95.0	89.0	15.0	4.5
Z016E0110	205.0	105.0	166.0	18.0	5.3
Z016E0111	170.0	80.0	NaN	NaN	NaN
Z016E0112	195.0	95.0	147.0	18.0	4.5
Z016E0113	195.0	90.0	148.0	14.0	4.2
Z016E0114	165.0	70.0	171.0	14.0	5.5
Z016E0115	165.0	75.0	128.0	15.5	3.2
Z016E0116	190.0	90.0	154.0	17.0	5.0
Z016E0117	170.0	115.0	153.0	12.0	4.2
Z016E0118	240.0	120.0	NaN	18.0	5.0
Z016E0119	180.0	80.0	171.0	16.0	6.0
Z016E0120	120.0	65.0	112.0	16.0	2.6
Z016E0121	160.0	65.0	136.0	14.0	2.9
Z016E0122	165.0	75.0	144.0	14.0	6.0
Z016E0123	185.0	95.0	153.0	16.0	4.9
Z016E0124	165.0	70.0	163.0	16.0	4.7
Z016E0125	205.0	95.0	171.5	16.0	4.4
Z016E0126	165.0	60.0	151.5	16.0	6.0
Z016E0127	195.0	80.0	171.0	20.0	7.9
Z016E0128	155.0	75.0	125.5	16.0	4.4
Z016E0129	170.0	90.0	183.0	12.0	6.8
Z016E0130	165.0	85.0	NaN	NaN	5.6
Z016E0131	155.0	85.0	124.0	16.0	5.2
Z016E0132	160.0	60.0	128.5	16.0	5.3
Z016E0133	195.0	85.0	NaN	NaN	NaN
Z016E0134	200.0	80.0	149.0	19.5	6.2
Z016E0135	180.0	85.0	132.0	18.0	6.0
Z016E0136	150.0	70.0	131.0	16.0	3.3
Z016E0137	155.0	70.0	153.0	12.0	5.8
Z016E0138	195.0	115.0	132.0	18.0	4.6
Z016E0139	190.0	85.0	161.0	16.0	NaN
Z016E0140	180.0	85.0	NaN	NaN	NaN
Z016E0141	200.0	100.0	171.0	16.0	5.5
Z016E0142	180.0	110.0	127.0	12.0	3.2
Z016E0143	210.0	90.0	156.0	14.0	4.0
Z016E0144	195.0	100.0	180.0	19.0	3.6
Z016E0145	180.0	90.0	153.0	14.0	7.2
Z016E0146	165.0	85.0	146.0	16.0	4.6
Z016E0147	145.0	60.0	127.0	18.0	4.3
Z016E0148	190.0	75.0	137.0	14.0	5.2
Z016E0149	180.0	100.0	188.0	14.0	7.3
Z016E0150	190.0	105.0	152.0	20.0	3.8
Z016E0151	150.0	55.0	150.0	18.0	4.6
Z016E0152	190.0	95.0	175.0	18.0	4.9
Z016E0153	175.0	65.0	129.0	12.0	4.3
Z016E0154	205.0	75.0	142.0	22.0	4.5
Z016E0155	180.0	75.0	86.5	14.0	6.55
Z016E0156	135.0	50.0	95.0	10.0	0.7
Z016E0157	155.0	65.0	166.0	15.0	4.85
Z016E0158	155.0	55.0	99.0	10.0	5.1
Z016E0159	225.0	125.0	157.5	16.5	6.15
Z016E0160	180.0	80.0	153.0	14.0	4.7
Z016E0161	140.0	65.0	148.0	18.0	2.7
Z016E0162	205.0	110.0	152.0	18.0	6.8
Z016E0163	195.0	95.0	146.0	16.0	5.5
Z016E0164	175.0	85.0	149.5	15.0	4.366666667
Z016E0165	175.0	75.0	140.0	16.0	3.7
Z016E0166	175.0	95.0	129.0	14.0	5.1
Z016E0167	185.0	80.0	203.0	14.0	5.6
Z016E0168	215.0	115.0	142.0	16.0	3.9
Z016E0169	165.0	75.0	136.5	16.5	5.05
Z016E0170	175.0	80.0	175.0	16.0	6.7
Z016E0171	185.0	95.0	150.0	17.0	3.95
Z016E0172	165.0	80.0	143.0	14.0	6.5
Z016E0173	145.0	70.0	158.0	18.0	5.3
Z016E0174	180.0	85.0	133.5	18.0	4.15
Z016E0175	170.0	95.0	129.0	14.0	3.1
Z016E0176	190.0	105.0	126.0	18.0	3.7
Z016E0177	190.0	85.0	142.5	18.66666667	4.9
Z016E0178	170.0	55.0	160.0	16.0	5.1
Z016E0179	190.0	85.0	178.0	16.0	4.7
Z016E0180	215.0	125.0	156.0	14.0	NaN
Z016E0181	175.0	80.0	NaN	NaN	NaN
Z016E0182	185.0	110.0	NaN	NaN	NaN
Z016E0183	155.0	65.0	158.0	12.0	3.9
Z016E0184	155.0	90.0	NaN	NaN	NaN
Z016E0185	205.0	100.0	187.0	18.0	6.4
Z016E0186	170.0	65.0	NaN	16.0	5.4
Z016E0187	160.0	60.0	148.0	18.0	4.2
Z016E0188	205.0	85.0	163.0	14.0	5.2
Z016E0189	165.0	85.0	135.0	14.0	4.4
Z016E0190	185.0	105.0	159.0	12.0	3.3
Z016E0191	160.0	60.0	118.0	16.0	4.2
Z016E0192	185.0	105.0	142.0	19.0	5.1
Z016E0193	195.0	65.0	160.0	18.0	5.4
Z016E0194	160.0	85.0	147.0	12.0	5.3
Z016E0195	145.0	55.0	155.0	18.0	3.8
Z016E0196	150.0	70.0	NaN	18.0	4.2
Z016E0197	160.0	60.0	137.0	16.0	4.0
Z016E0198	165.0	80.0	NaN	NaN	NaN
Z016E0199	200.0	100.0	202.5	16.0	5.1
Z016E0200	205.0	90.0	157.0	12.0	4.0
Z016E0201	179.0	82.5	155.6	18.0	4.58
Z016E0202	NaN	NaN	157.1666667	14.71428571	5.071428571
Z016E0213	NaN	NaN	NaN	NaN	NaN
Z016E0220	NaN	NaN	NaN	NaN	NaN
Z016E0251	NaN	NaN	NaN	NaN	NaN
Z016E0254	NaN	NaN	NaN	NaN	NaN
Z016E0274	NaN	NaN	NaN	NaN	NaN
Z017E0001	145.0	65.0	NaN	NaN	NaN
Z017E0002	185.0	90.0	143.5	9.0	5.4
Z017E0003	145.0	50.0	NaN	NaN	NaN
Z017E0004	130.0	60.0	153.5	15.0	5.3
Z017E0005	160.0	60.0	NaN	NaN	NaN
Z017E0006	135.0	35.0	166.5	13.0	2.6
Z017E0007	140.0	65.0	NaN	NaN	NaN
Z017E0008	135.0	55.0	NaN	NaN	NaN
Z017E0009	130.0	50.0	158.0	15.0	3.25
Z017E0010	170.0	70.0	126.0	12.0	4.75
Z017E0011	165.0	65.0	170.0	14.0	2.8
Z017E0012	145.0	50.0	158.0	16.0	6.5
Z017E0013	NaN	NaN	NaN	NaN	NaN
Z017E0014	195.0	85.0	209.0	11.0	5.45
Z017E0015	135.0	45.0	151.5	15.0	4.3
Z017E0016	155.0	55.0	163.0	12.0	3.8
Z017E0017	150.0	65.0	170.0	14.0	5.2
Z017E0018	145.0	60.0	154.5	13.0	4.4
Z017E0019	130.0	55.0	164.0	15.0	4.45
Z017E0020	175.0	70.0	172.0	13.0	5.3
Z017E0021	150.0	75.0	163.5	11.0	5.1
Z017E0022	140.0	60.0	NaN	NaN	NaN
Z017E0023	145.0	55.0	161.5	15.0	5.35
Z017E0024	NaN	NaN	NaN	NaN	NaN
Z017E0025	160.0	65.0	159.0	12.0	5.7
Z017E0026	155.0	75.0	NaN	NaN	NaN
Z017E0027	NaN	NaN	NaN	NaN	NaN
Z017E0028	140.0	50.0	NaN	NaN	NaN
Z017E0029	120.0	55.0	173.0	16.0	4.1
Z017E0030	165.0	70.0	178.5	13.0	3.75
Z017E0031	145.0	75.0	134.5	13.0	4.65
Z017E0032	160.0	65.0	150.5	13.0	4.95
Z017E0033	85.0	15.0	NaN	NaN	NaN
Z017E0034	140.0	55.0	NaN	NaN	NaN
Z017E0035	145.0	45.0	102.0	14.0	4.7
Z017E0036	135.0	50.0	183.0	12.0	5.3
Z017E0037	135.0	55.0	154.0	16.0	4.45
Z017E0038	165.0	90.0	153.0	14.0	4.7
Z017E0039	160.0	60.0	156.0	10.0	5.05
Z017E0040	145.0	55.0	139.0	14.0	3.5
Z017E0041	120.0	35.0	118.0	12.0	4.8
Z017E0042	130.0	50.0	NaN	NaN	NaN
Z017E0043	140.0	55.0	NaN	NaN	NaN
Z017E0044	155.0	75.0	167.0	13.0	5.25
Z017E0045	170.0	70.0	164.5	12.0	5.5
Z017E0046	160.0	75.0	NaN	NaN	NaN
Z017E0047	160.0	75.0	212.0	13.0	5.4
Z017E0048	125.0	55.0	120.0	10.0	3.8
Z017E0049	155.0	65.0	94.0	14.0	4.2
Z017E0050	125.0	60.0	147.0	15.0	3.4
Z017E0051	145.0	60.0	NaN	NaN	NaN
Z017E0052	135.0	50.0	136.0	20.0	3.25
Z017E0053	120.0	45.0	157.0	14.0	2.4
Z017E0054	145.0	75.0	148.5	12.0	3.4
Z017E0055	155.0	75.0	168.0	16.0	3.1
Z017E0056	155.0	75.0	NaN	NaN	NaN
Z017E0057	145.0	70.0	155.5	10.0	3.65
Z017E0058	190.0	100.0	138.5	14.0	5.05
Z017E0059	145.0	50.0	168.0	12.0	3.6
Z017E0060	170.0	65.0	121.0	15.0	6.0
Z017E0061	150.0	75.0	169.5	15.0	5.55
Z017E0062	150.0	60.0	147.0	NaN	3.7
Z017E0063	125.0	35.0	133.0	14.0	3.9
Z017E0064	140.0	60.0	150.0	14.0	3.7
Z017E0065	145.0	65.0	123.0	NaN	3.6
Z017E0066	160.0	80.0	151.0	14.0	4.3
Z017E0067	125.0	55.0	142.5	16.0	3.3
Z017E0068	175.0	85.0	NaN	NaN	NaN
Z017E0069	145.0	50.0	117.5	11.0	5.85
Z017E0070	150.0	65.0	148.0	16.0	4.6
Z017E0071	160.0	60.0	131.0	16.0	3.3
Z017E0072	165.0	85.0	183.0	14.0	4.0
Z017E0073	195.0	95.0	206.5	12.0	5.1
Z017E0074	125.0	25.0	NaN	NaN	NaN
Z017E0075	150.0	70.0	121.0	12.0	3.5
Z017E0076	145.0	50.0	148.5	10.0	4.85
Z017E0077	135.0	65.0	NaN	NaN	NaN
Z017E0078	130.0	50.0	NaN	NaN	NaN
Z017E0079	135.0	45.0	NaN	NaN	NaN
Z017E0080	160.0	65.0	NaN	NaN	NaN
Z017E0081	135.0	55.0	NaN	NaN	NaN
Z017E0082	150.0	80.0	NaN	NaN	NaN
Z017E0083	155.0	60.0	126.0	12.0	3.35
Z017E0084	145.0	50.0	NaN	NaN	NaN
Z017E0085	145.0	70.0	168.0	12.5	3.9
Z017E0086	150.0	65.0	NaN	NaN	NaN
Z017E0087	175.0	80.0	144.0	15.0	5.1
Z017E0088	180.0	95.0	184.0	12.0	4.2
Z017E0089	150.0	55.0	NaN	NaN	NaN
Z017E0090	170.0	70.0	NaN	NaN	6.25
Z017E0091	115.0	40.0	164.0	12.0	4.8
Z017E0092	130.0	50.0	153.0	15.0	5.05
Z017E0093	150.0	70.0	NaN	NaN	NaN
Z017E0094	125.0	55.0	NaN	NaN	NaN
Z017E0095	NaN	NaN	NaN	NaN	NaN
Z017E0096	140.0	55.0	NaN	NaN	NaN
Z017E0097	95.0	30.0	NaN	NaN	NaN
Z017E0098	150.0	55.0	140.0	11.0	4.25
Z017E0099	NaN	NaN	NaN	NaN	NaN
Z017E0100	115.0	35.0	95.0	11.0	2.65
Z017E0101	140.0	55.0	108.0	14.0	3.6
Z017E0102	180.0	70.0	151.0	11.0	4.7
Z017E0103	170.0	60.0	160.5	13.0	5.55
Z017E0104	140.0	55.0	NaN	NaN	NaN
Z017E0105	130.0	45.0	115.0	12.0	4.1
Z017E0106	170.0	80.0	163.0	15.0	3.75
Z017E0107	180.0	85.0	195.0	12.0	7.55
Z017E0108	145.0	45.0	136.0	10.0	5.1
Z017E0109	85.0	30.0	NaN	NaN	NaN
Z017E0110	180.0	85.0	169.0	12.0	4.3
Z017E0111	160.0	70.0	116.5	14.0	4.9
Z017E0112	165.0	75.0	172.5	13.0	4.35
Z017E0113	175.0	90.0	NaN	NaN	NaN
Z017E0114	145.0	75.0	NaN	NaN	NaN
Z017E0115	155.0	60.0	152.0	12.0	6.6
Z017E0116	125.0	50.0	NaN	NaN	NaN
Z017E0117	180.0	70.0	162.0	12.0	5.7
Z017E0118	145.0	50.0	189.0	16.0	4.1
Z017E0119	120.0	55.0	147.0	12.0	4.2
Z017E0120	155.0	60.0	152.0	14.0	6.1
Z017E0121	150.0	65.0	NaN	NaN	NaN
Z017E0122	130.0	60.0	173.0	12.0	3.4
Z017E0123	155.0	80.0	NaN	NaN	NaN
Z017E0124	135.0	35.0	184.0	13.0	3.45
Z017E0125	180.0	65.0	NaN	NaN	NaN
Z017E0126	190.0	95.0	NaN	NaN	NaN
Z017E0127	135.0	60.0	167.0	14.0	NaN
Z017E0128	155.0	60.0	150.0	16.0	4.6
Z017E0129	150.0	65.0	94.0	12.0	6.05
Z017E0130	150.0	55.0	NaN	NaN	NaN
Z017E0131	155.0	60.0	138.0	13.0	6.85
Z017E0132	215.0	120.0	171.0	13.0	5.25
Z017E0133	185.0	100.0	NaN	NaN	NaN
Z017E0134	165.0	75.0	182.0	15.0	5.15
Z017E0135	170.0	60.0	159.0	10.0	NaN
Z017E0136	145.0	55.0	NaN	NaN	NaN
Z017E0137	165.0	80.0	NaN	NaN	NaN
Z017E0138	155.0	90.0	NaN	NaN	NaN
Z017E0139	110.0	45.0	NaN	NaN	NaN
Z017E0140	125.0	55.0	148.5	16.0	3.55
Z017E0141	165.0	75.0	176.0	16.0	4.5
Z017E0142	165.0	85.0	NaN	NaN	NaN
Z017E0143	NaN	NaN	NaN	NaN	NaN
Z017E0144	145.0	65.0	194.0	14.0	5.3
Z017E0145	NaN	NaN	NaN	NaN	NaN
Z017E0146	155.0	80.0	102.5	15.0	6.4
Z017E0147	135.0	65.0	151.5	16.0	3.95
Z017E0148	140.0	40.0	NaN	NaN	NaN
Z017E0149	175.0	80.0	NaN	NaN	NaN
Z017E0150	140.0	55.0	196.0	9.0	3.95
Z017E0151	125.0	45.0	114.0	14.0	5.25
Z017E0152	145.0	70.0	NaN	NaN	NaN
Z017E0153	175.0	80.0	127.0	14.0	4.05
Z017E0154	170.0	70.0	179.5	NaN	5.55
Z017E0155	150.0	75.0	114.0	12.0	3.8
Z017E0156	120.0	50.0	127.5	15.5	3.0
Z017E0157	140.0	45.0	167.0	15.0	2.9
Z017E0158	175.0	70.0	138.5	12.0	5.5
Z017E0159	145.0	65.0	125.0	12.0	6.2
Z017E0160	145.0	55.0	150.0	12.0	4.8
Z017E0161	185.0	75.0	150.5	12.0	5.5
Z017E0162	135.0	75.0	137.0	12.0	3.65
Z017E0163	160.0	65.0	148.0	14.0	4.0
Z017E0164	125.0	40.0	NaN	NaN	4.6
Z017E0165	135.0	40.0	137.0	16.0	4.2
Z017E0166	120.0	50.0	NaN	NaN	NaN
Z017E0167	170.0	75.0	124.0	12.0	8.2
Z017E0168	160.0	55.0	174.0	13.0	4.85
Z017E0169	155.0	65.0	151.0	15.0	3.45
Z017E0170	120.0	55.0	177.0	12.0	3.25
Z017E0171	180.0	95.0	138.5	14.5	5.65
Z017E0172	170.0	50.0	189.5	12.0	4.5
Z017E0173	125.0	50.0	154.0	10.0	6.1
Z017E0174	170.0	70.0	NaN	NaN	NaN
Z017E0175	150.0	40.0	NaN	NaN	NaN
Z017E0176	130.0	45.0	165.0	14.0	3.75
Z017E0177	160.0	70.0	184.0	11.0	5.3
Z017E0178	145.0	50.0	142.0	14.0	3.2
Z017E0179	145.0	60.0	144.5	14.0	3.4
Z017E0180	175.0	65.0	NaN	NaN	NaN
Z017E0181	125.0	45.0	126.0	12.0	3.1
Z017E0182	140.0	70.0	115.0	10.0	4.9
Z017E0183	190.0	85.0	182.0	12.0	3.3
Z017E0184	160.0	90.0	NaN	NaN	NaN
Z017E0185	135.0	50.0	165.5	12.0	5.65
Z017E0186	145.0	70.0	NaN	NaN	NaN
Z017E0187	150.0	60.0	156.0	12.0	4.9
Z017E0188	140.0	55.0	189.0	12.0	3.6
Z017E0189	150.0	50.0	179.0	12.0	5.8
Z017E0190	165.0	75.0	NaN	NaN	NaN
Z017E0191	150.0	55.0	97.0	11.0	4.3
Z017E0192	130.0	45.0	139.5	13.0	3.75
Z017E0193	140.0	50.0	147.5	12.0	5.75
Z017E0194	155.0	70.0	156.0	16.0	6.75
Z017E0195	155.0	65.0	NaN	NaN	NaN
Z017E0196	165.0	60.0	NaN	NaN	NaN
Z017E0197	165.0	85.0	129.0	10.0	4.2
Z017E0198	195.0	75.0	110.0	13.0	5.85
Z017E0199	115.0	35.0	149.5	14.0	3.15
Z017E0200	120.0	40.0	NaN	NaN	NaN
Z017E0201	166.5	72.5	135.6428571	16.85714286	4.914285714
Z018E0001	185.0	95.0	154.0	NaN	2.4
Z018E0002	195.0	90.0	142.0	18.0	1.8
Z018E0003	140.0	60.0	148.5	19.0	3.05
Z018E0004	190.0	85.0	NaN	NaN	NaN
Z018E0005	160.0	75.0	112.0	14.0	3.2
Z018E0006	125.0	50.0	135.5	14.0	3.7
Z018E0007	195.0	100.0	NaN	NaN	1.6
Z018E0008	200.0	105.0	127.0	16.0	2.7
Z018E0009	190.0	80.0	199.0	18.0	2.5
Z018E0010	195.0	115.0	108.5	18.0	2.4
Z018E0011	195.0	85.0	117.0	16.0	4.3
Z018E0012	175.0	85.0	150.0	16.0	3.8
Z018E0013	140.0	70.0	138.5	17.0	2.85
Z018E0014	155.0	50.0	166.0	14.0	4.2
Z018E0015	175.0	100.0	128.0	13.0	2.75
Z018E0016	200.0	110.0	138.0	17.0	2.7
Z018E0017	185.0	100.0	137.0	16.0	3.4
Z018E0018	165.0	90.0	206.0	21.0	4.1
Z018E0019	170.0	70.0	145.0	18.0	2.4
Z018E0020	130.0	55.0	130.0	14.0	4.2
Z018E0021	190.0	95.0	155.0	16.0	3.5
Z018E0022	165.0	80.0	147.0	16.0	3.5
Z018E0023	170.0	90.0	142.0	18.0	4.0
Z018E0024	205.0	105.0	143.0	NaN	3.3
Z018E0025	170.0	90.0	134.0	15.0	4.05
Z018E0026	175.0	100.0	127.0	18.0	2.4
Z018E0027	185.0	80.0	157.0	18.0	4.1
Z018E0028	175.0	80.0	169.0	16.0	4.0
Z018E0029	150.0	65.0	NaN	NaN	NaN
Z018E0030	150.0	60.0	144.0	18.0	3.0
Z018E0031	165.0	70.0	147.0	16.0	2.8
Z018E0032	165.0	85.0	137.0	16.0	2.9
Z018E0033	185.0	100.0	132.0	16.0	3.3
Z018E0034	190.0	80.0	161.0	14.5	4.3
Z018E0035	165.0	85.0	NaN	NaN	NaN
Z018E0036	190.0	90.0	178.0	17.0	4.0
Z018E0037	175.0	95.0	122.0	14.0	2.8
Z018E0038	155.0	90.0	148.5	19.0	4.2
Z018E0039	190.0	110.0	127.0	16.0	3.5
Z018E0040	195.0	90.0	123.0	16.0	3.2
Z018E0041	165.0	85.0	131.0	16.5	2.75
Z018E0042	160.0	72.5	159.5	15.0	3.95
Z018E0043	195.0	105.0	121.0	15.0	3.2
Z018E0044	155.0	70.0	129.0	15.0	3.3
Z018E0045	195.0	110.0	164.0	20.0	4.1
Z018E0046	192.5	77.5	169.0	22.0	5.7
Z018E0047	140.0	60.0	149.0	15.0	2.9
Z018E0048	165.0	70.0	NaN	NaN	NaN
Z018E0049	175.0	80.0	177.0	16.0	3.25
Z018E0050	180.0	75.0	176.0	16.0	2.2
Z018E0051	145.0	90.0	119.0	18.0	3.8
Z018E0052	130.0	70.0	125.0	16.0	2.6
Z018E0053	165.0	75.0	157.5	16.0	2.5
Z018E0054	145.0	70.0	147.0	16.0	2.7
Z018E0055	140.0	75.0	113.6666667	22.0	2.4
Z018E0056	200.0	85.0	175.0	16.0	2.1
Z018E0057	205.0	115.0	181.0	16.0	4.1
Z018E0058	155.0	75.0	164.0	16.0	2.8
Z018E0059	155.0	75.0	NaN	NaN	NaN
Z018E0060	165.0	85.0	148.0	18.0	3.1
Z018E0061	150.0	50.0	135.0	16.0	4.5
Z018E0062	165.0	85.0	181.0	18.0	3.7
Z018E0063	170.0	75.0	184.0	20.0	3.2
Z018E0064	160.0	70.0	NaN	NaN	NaN
Z018E0065	195.0	95.0	160.0	18.0	1.8
Z018E0066	135.0	60.0	146.5	15.0	3.65
Z018E0067	170.0	80.0	139.0	21.0	3.9
Z018E0068	190.0	100.0	191.0	20.0	3.1
Z018E0069	200.0	115.0	121.0	18.0	2.5
Z018E0070	135.0	65.0	152.0	11.0	5.1
Z018E0071	155.0	75.0	NaN	NaN	NaN
Z018E0072	155.0	70.0	127.0	16.0	4.0
Z018E0073	NaN	NaN	108.0	16.0	2.3
Z018E0074	200.0	105.0	135.0	18.66666667	3.2
Z018E0075	185.0	110.0	NaN	NaN	NaN
Z018E0076	160.0	80.0	119.0	18.0	4.0
Z018E0077	180.0	80.0	144.0	16.5	3.75
Z018E0078	185.0	100.0	160.0	24.0	3.4
Z018E0079	185.0	85.0	NaN	NaN	NaN
Z018E0080	190.0	90.0	NaN	NaN	NaN
Z018E0081	200.0	105.0	119.0	18.0	2.6
Z018E0082	160.0	80.0	152.0	16.0	4.3
Z018E0083	175.0	75.0	132.0	14.0	2.9
Z018E0084	160.0	100.0	129.5	14.0	3.35
Z018E0085	170.0	85.0	160.5	17.0	3.0
Z018E0086	160.0	90.0	162.0	15.0	3.4
Z018E0087	175.0	75.0	121.0	18.0	4.2
Z018E0088	160.0	55.0	123.0	18.0	2.7
Z018E0089	175.0	80.0	156.0	16.0	4.6
Z018E0090	165.0	85.0	149.0	14.0	3.9
Z018E0091	195.0	95.0	137.0	16.0	3.6
Z018E0092	180.0	90.0	135.0	14.0	5.2
Z018E0093	190.0	100.0	146.0	16.0	3.7
Z018E0094	210.0	95.0	143.0	14.0	3.8
Z018E0095	200.0	130.0	147.0	18.0	2.05
Z018E0096	175.0	85.0	132.5	13.5	5.1
Z018E0097	130.0	60.0	107.5	18.0	2.4
Z018E0098	180.0	85.0	157.0	13.0	3.5
Z018E0099	145.0	75.0	156.5	13.5	4.4
Z018E0100	180.0	80.0	180.5	16.0	3.95
Z018E0101	160.0	75.0	117.0	19.0	3.3
Z018E0102	170.0	85.0	157.0	16.0	4.1
Z018E0103	155.0	70.0	102.0	11.5	1.95
Z018E0104	185.0	105.0	153.0	16.0	3.8
Z018E0105	160.0	90.0	128.5	16.0	4.4
Z018E0106	175.0	80.0	125.0	17.0	4.3
Z018E0107	185.0	70.0	113.0	17.0	2.8
Z018E0108	120.0	50.0	167.0	16.0	3.0
Z018E0109	NaN	NaN	NaN	NaN	NaN
Z018E0110	170.0	80.0	142.0	16.0	3.8
Z018E0111	165.0	75.0	101.5	20.0	2.1
Z018E0112	185.0	115.0	NaN	NaN	NaN
Z018E0113	190.0	80.0	154.0	18.0	5.6
Z018E0114	165.0	80.0	135.5	17.0	3.75
Z018E0115	180.0	100.0	131.0	22.0	3.8
Z018E0116	200.0	120.0	NaN	NaN	NaN
Z018E0117	205.0	115.0	NaN	NaN	NaN
Z018E0118	170.0	75.0	121.5	20.0	1.9
Z018E0119	155.0	60.0	NaN	NaN	NaN
Z018E0120	170.0	105.0	175.0	16.0	2.4
Z018E0121	165.0	60.0	157.0	14.0	3.5
Z018E0122	185.0	95.0	162.0	14.0	3.6
Z018E0123	165.0	80.0	166.0	14.0	2.4
Z018E0124	185.0	90.0	75.0	16.0	2.4
Z018E0125	165.0	70.0	89.0	21.0	1.85
Z018E0126	180.0	100.0	125.0	NaN	3.1
Z018E0127	155.0	60.0	120.5	15.0	2.2
Z018E0128	190.0	100.0	161.0	16.0	3.6
Z018E0129	180.0	70.0	152.0	16.0	2.5
Z018E0130	150.0	65.0	147.0	16.0	2.6
Z018E0131	165.0	75.0	133.0	20.0	4.4
Z018E0132	175.0	95.0	127.0	16.0	4.0
Z018E0133	NaN	NaN	154.0	18.0	2.4
Z018E0134	150.0	75.0	127.0	14.0	3.2
Z018E0135	150.0	70.0	98.5	19.0	2.2
Z018E0136	170.0	75.0	147.0	14.0	4.1
Z018E0137	160.0	65.0	144.5	20.0	3.2
Z018E0138	185.0	75.0	139.0	16.0	4.8
Z018E0139	155.0	60.0	138.0	13.5	4.5
Z018E0140	150.0	60.0	139.5	16.0	3.2
Z018E0141	190.0	90.0	171.0	16.0	4.5
Z018E0142	160.0	90.0	115.0	18.0	2.75
Z018E0143	165.0	95.0	124.0	18.0	1.8
Z018E0144	190.0	105.0	156.0	18.0	2.7
Z018E0145	150.0	90.0	133.0	18.0	4.7
Z018E0146	195.0	80.0	110.0	14.0	3.1
Z018E0147	160.0	85.0	138.5	16.0	2.95
Z018E0148	170.0	70.0	150.0	16.0	2.4
Z018E0149	195.0	100.0	148.5	15.5	3.55
Z018E0150	200.0	110.0	114.3333333	17.66666667	2.85
Z018E0151	135.0	60.0	126.5	15.0	3.05
Z018E0152	200.0	125.0	137.0	18.0	3.1
Z018E0153	185.0	65.0	NaN	NaN	NaN
Z018E0154	160.0	60.0	166.0	16.0	3.8
Z018E0155	195.0	100.0	134.0	18.0	5.6
Z018E0156	170.0	75.0	192.0	16.0	3.4
Z018E0157	192.5	105.0	178.0	16.0	5.6
Z018E0158	155.0	60.0	136.0	18.0	4.1
